"Sample_name","Individual","Week","Genus","Bd_load","Second_Run","Filter_load","samp","AB","trt","log","logfilt","pair","pairnum"
"A1.1A",1,1,"Atelopus",3.1154966354,NA,NA,"A1","A","s",1.41475951588679,NA,NA,NA
"A1.1B",1,1,"Atelopus",1.2272838503,NA,27.4460840225,"A1","B","s",0.800782838752086,3.34801050689816,NA,NA
"A1.2",1,2,"Atelopus",2.4789716303,NA,9.3639570475,"A1",NA,"s",1.24673674158065,2.33833411829722,NA,NA
"A1.3",1,3,"Atelopus",0.9739448875,NA,0,"A1",NA,"s",0.680034021421947,0,NA,NA
"A1.4",1,4,"Atelopus",12.7747118473,NA,17.125813961,"A1",NA,"s",2.62283443629387,2.8973371079255,NA,NA
"A1.5",1,5,"Atelopus",0.5749471113,NA,2.0863766968,"A1",NA,"s",0.454221691586787,1.1269978128557,NA,NA
"A1.6",1,6,"Atelopus",2.3555709422,NA,NA,"A1",NA,"s",1.21062193245793,NA,NA,NA
"A1.7",1,7,"Atelopus",0,NA,0,"A1",NA,"s",0,0,NA,NA
"A10.1",10,1,"Atelopus",0,NA,57.0927381516,"A10",NA,"m",0,4.06204066726126,"C12","12"
"A10.2",10,2,"Atelopus",0,NA,8.6737143993,"A10",NA,"m",0,2.26941235146138,"C12","12"
"A10.3",10,3,"Atelopus",14.4266927242,NA,0,"A10",NA,"m",2.73609930277867,0,"C12","12"
"A10.4",10,4,"Atelopus",216.5361022949,NA,1683.6964416504,"A10",NA,"m",5.38236482431709,7.4293406732337,"C12","12"
"A10.5",10,5,"Atelopus",7.8551417589,NA,25.1390361786,"A10",NA,"m",2.18099828001688,3.26342983600139,"C12","12"
"A10.6",10,6,"Atelopus",3491.5808105469,NA,NA,"A10",NA,"m",8.15839622917321,NA,"C12","12"
"A10.7",10,7,"Atelopus",111.4468765259,NA,3752.1020507813,"A10",NA,"m",4.72248090146019,8.23033799055358,"C12","12"
"A11.1",11,1,"Atelopus",0,NA,0,"A11",NA,"s",0,0,NA,NA
"A11.2",11,2,"Atelopus",0,NA,10.0251245499,"A11",NA,"s",0,2.40017671831218,NA,NA
"A11.3",11,3,"Atelopus",23.6631464958,NA,4.7571247816,"A11",NA,"s",3.20531008472234,1.75043818021994,NA,NA
"A11.4",11,4,"Atelopus",364.0845870972,NA,18007.9443359375,"A11",NA,"s",5.90012907220544,9.79862382101271,NA,NA
"A11.5",11,5,"Atelopus",24.6555972099,NA,36.7876052856,"A11",NA,"s",3.24476176262231,3.63198114635641,NA,NA
"A11.6",11,6,"Atelopus",121.8620681763,NA,NA,"A11",NA,"s",4.81106232919576,NA,NA,NA
"A11.7",11,7,"Atelopus",202.1389389038,NA,704.85496521,"A11",NA,"s",5.31389017302523,6.55940978467538,NA,NA
"A12.1",12,1,"Atelopus",0.3278296441,NA,0,"A12",NA,"s",0.283545762780473,0,NA,NA
"A12.2",12,2,"Atelopus",35.1869916916,NA,26.6132378578,"A12",NA,"s",3.58869970871574,3.31829529026517,NA,NA
"A12.3",12,3,"Atelopus",2.7096617222,NA,0,"A12",NA,"s",1.31094069246219,0,NA,NA
"A12.4",12,4,"Atelopus",897.866897583,NA,5493.8525390625,"A12",NA,"s",6.80113496742904,8.61156703100221,NA,NA
"A12.5",12,5,"Atelopus",30.0077486038,NA,6435.95703125,"A12",NA,"s",3.4342371282129,8.76981119675459,NA,NA
"A12.6",12,6,"Atelopus",8074.7644042969,NA,NA,"A12",NA,"s",8.99662280668142,NA,NA,NA
"A13.1",13,1,"Atelopus",31.2191128731,NA,154.4129180908,"A13",NA,"m",3.47255984394644,5.04608556247603,"C13","13"
"A13.2",13,2,"Atelopus",6.9422852993,NA,167.2216415405,"A13",NA,"m",2.07220105491704,5.12528240478236,"C13","13"
"A13.3",13,3,"Atelopus",2.5981932878,NA,2.3886108398,"A13",NA,"m",1.28043185498593,1.22042005563895,"C13","13"
"A13.4",13,4,"Atelopus",293.775844574,NA,NA,"A13",NA,"m",5.68621521860663,NA,"C13","13"
"A13.5",13,5,"Atelopus",15.7332849503,NA,2074.1168212891,"A13",NA,"m",2.81739984660906,7.63777273049648,"C13","13"
"A13.6",13,6,"Atelopus",1440.5543518066,NA,NA,"A13",NA,"m",7.2734772214017,NA,"C13","13"
"A13.7",13,7,"Atelopus",2463.4197998047,NA,12310.6591796875,"A13",NA,"m",7.80971168343889,9.41830199317386,"C13","13"
"A14.1",14,1,"Atelopus",0,NA,0,"A14",NA,"m",0,0,"C14","14"
"A14.2",14,2,"Atelopus",0,NA,4.2700222135,"A14",NA,"m",0,1.66203457762978,"C14","14"
"A14.3",14,3,"Atelopus",0.5352868512,NA,0,"A14",NA,"m",0.428717237326365,0,"C14","14"
"A14.4",14,4,"Atelopus",56.6166400909,NA,129.7598552704,"A14",NA,"m",4.05381141644804,4.8733624750215,"C14","14"
"A14.5",14,5,"Atelopus",13.3514654636,NA,1093.5173797608,"A14",NA,"m",2.6638520598904,6.99806879601528,"C14","14"
"A14.6",14,6,"Atelopus",253.0076217651,NA,NA,"A14",NA,"m",5.53736427351755,NA,"C14","14"
"A14.7",14,7,"Atelopus",3370.0299072266,NA,27590.6396484375,"A14",NA,"m",8.12297358711004,10.2252680945299,"C14","14"
"A15.1",15,1,"Atelopus",0,NA,NA,"A15",NA,"c",0,NA,"A2","1"
"A15.2",15,2,"Atelopus",3.2355105877,NA,9.1141563654,"A15",NA,"c",1.44350388463844,2.31393606283095,"A2","1"
"A15.3",15,3,"Atelopus",NA,NA,4.8989191651,"A15",NA,"c",NA,1.77476914177397,"A2","1"
"A15.4",15,4,"Atelopus",174.9841117859,NA,1724.5243835449,"A15",NA,"c",5.17039371701946,7.45328627373053,"A2","1"
"A15.5",15,5,"Atelopus",169.3078994751,NA,244.7653198242,"A15",NA,"c",5.13760797223643,5.50437709614511,"A2","1"
"A15.6",15,6,"Atelopus",3488.9517211914,NA,NA,"A15",NA,"c",8.15764318163128,NA,"A2","1"
"A15.7",15,7,"Atelopus",62.0854902267,NA,20644.208984375,"A15",NA,"c",4.14449079424117,9.9352385610287,"A2","1"
"A16.1",16,1,"Atelopus",0,NA,0,"A16",NA,"c",0,0,"A20","2"
"A16.2",16,2,"Atelopus",0.601266101,NA,24.7056794167,"A16",NA,"c",0.470794629447574,3.24671195646336,"A20","2"
"A16.3",16,3,"Atelopus",0.6450823694,NA,0,"A16",NA,"c",0.497790455547332,0,"A20","2"
"A16.4",16,4,"Atelopus",0,NA,0,"A16",NA,"c",0,0,"A20","2"
"A16.5",16,5,"Atelopus",0.6221440062,NA,6.2028974295,"A16",NA,"c",0.483748734859509,1.97448336583638,"A20","2"
"A16.6",16,6,"Atelopus",8.6103588343,NA,NA,"A16",NA,"c",2.26284156196251,NA,"A20","2"
"A16.7",16,7,"Atelopus",21.3917016983,NA,334.9046707153,"A16",NA,"c",3.10869043032645,5.81682740159838,"A20","2"
"A17.1",17,1,"Atelopus",0.6270322204,NA,28.6774134636,"A17",NA,"s",0.486757631605656,3.39038626704879,NA,NA
"A17.2",17,2,"Atelopus",0,NA,6.4802759886,"A17",NA,"s",0,2.01226968817737,NA,NA
"A17.3",17,3,"Atelopus",410.477104187,NA,1.4502705634,"A17",NA,"s",6.01975337868338,0.896198452500062,NA,NA
"A17.4",17,4,"Atelopus",172.018699646,NA,772.1475982666,"A17",NA,"s",5.15339967909573,6.65046997249044,NA,NA
"A17.5",17,5,"Atelopus",0.7184284925,NA,2341.3720703125,"A17",NA,"s",0.541410206025954,7.75891940016128,NA,NA
"A17.6",17,6,"Atelopus",106.964597702,NA,NA,"A17",NA,"s",4.68180337433081,NA,NA,NA
"A17.7",17,7,"Atelopus",118.9102745056,NA,41927.2802734375,"A17",NA,"s",4.78674375065234,10.6437158250961,NA,NA
"A18.1",18,1,"Atelopus",0.5749138072,NA,54.2246866226,"A18",NA,"s",0.454200545192795,4.01141007473327,NA,NA
"A18.2",18,2,"Atelopus",0.6084964052,NA,85.1310539246,"A18",NA,"s",0.475299832817232,4.45587001916648,NA,NA
"A18.3",18,3,"Atelopus",90.5644130707,NA,0,"A18",NA,"s",4.51704269259803,0,NA,NA
"A18.4",18,4,"Atelopus",2504.9263000488,NA,4594.8593139649,"A18",NA,"s",7.82641372562562,8.4329110279616,NA,NA
"A18.5",18,5,"Atelopus",158.3520030975,NA,26856.1328125,"A18",NA,"s",5.07111561121107,10.198286718754,NA,NA
"A18.6",18,6,"Atelopus",7739.0698242188,NA,NA,"A18",NA,"s",8.95416598775998,NA,NA,NA
"A19.1",19,1,"Atelopus",90.8456134796,NA,271.660861969,"A19",NA,"s",4.52010905308576,5.60822875908578,NA,NA
"A19.2",19,2,"Atelopus",269.1690635681,NA,515.2917861938,"A19",NA,"s",5.59904792440448,6.24667208277939,NA,NA
"A2.1",2,1,"Atelopus",1.3484525681,NA,0,"A2",NA,"c",0.853756629602226,0,"A15","1"
"A2.2",2,2,"Atelopus",48.8131713867,NA,1173.3122253418,"A2",NA,"c",3.90827943473714,7.0684379150652,"A15","1"
"A2.3",2,3,"Atelopus",164.298210144,NA,3.986941278,"A2",NA,"c",5.10775117684337,1.60682275147962,"A15","1"
"A2.4",2,4,"Atelopus",6667.4188232422,NA,11799.4421386719,"A2",NA,"c",8.80513805282231,9.37589227913077,"A15","1"
"A2.5",2,5,"Atelopus",512.3935699463,NA,2792.0022583008,"A2",NA,"c",6.24104274390652,7.93487237450224,"A15","1"
"A20.1",20,1,"Atelopus",0,NA,0,"A20",NA,"c",0,0,"A16","2"
"A20.2",20,2,"Atelopus",0.5466698855,NA,0,"A20",NA,"c",0.43610415871013,0,"A16","2"
"A20.3",20,3,"Atelopus",0,NA,0,"A20",NA,"c",0,0,"A16","2"
"A20.4",20,4,"Atelopus",3.7870037556,NA,199.384021759,"A20",NA,"c",1.56590469495153,5.30023563429045,"A16","2"
